operator,target,acc,roc,n
Direct,gold,0.9933155080213903,0.9999070605393349,1496
Direct,yM,nan,nan,1496
Prefixed,gold,0.9846256684491979,0.9988597043095313,1496
Prefixed,yM,nan,nan,1496
Answered,gold,0.9832887700534759,0.9981179759215306,1496
Answered,yM,nan,nan,1496
Verdict,gold,0.625,0.660401891675484,1496
Verdict,yM,nan,nan,1496
InputDelta,gold,0.9933155080213903,0.999896336755412,1496
InputDelta,yM,nan,nan,1496
QuestionDelta,gold,0.9846256684491979,0.9988597043095313,1496
QuestionDelta,yM,nan,nan,1496
Interaction,gold,0.9933155080213903,0.999896336755412,1496
Interaction,yM,nan,nan,1496
FewShot,gold,0.9906417112299465,0.9988525551202494,1496
FewShot,yM,nan,nan,1496
DCT_top10,gold,0.9471925133689839,0.9837373816809174,1496
DCT_top10,yM,nan,nan,1496
DCT_top50,gold,0.9893048128342246,0.9993529983699848,1496
DCT_top50,yM,nan,nan,1496
random_10,gold,0.9679144385026738,0.9942949469530156,1496
random_10,yM,nan,nan,1496
